,Source,Target,book,chapter
0,Everett,Geralt,0,5
1,Everett,Ciri,0,5
2,Geralt,Ciri,0,5
3,Ciri,Iola,0,5
4,Nenneke,Geralt,0,5
5,Geralt,Nenneke,0,5
6,Nenneke,Iola,0,5
7,Geralt,Iola,0,5
8,Iola,Nenneke,0,5
9,Nenneke,Ciri,0,5
10,Ciri,Nenneke,0,5
11,Ciri,Geralt,0,5
12,Yennefer,Geralt,0,5
13,Geralt,Everett,0,5
14,Everett,Foltest,0,5
15,Geralt,Foltest,0,5
16,Geralt,King,0,5
17,Rience,Geralt,0,5
18,Geralt,Yennefer,0,5
19,Everett,Dandelion,0,5
20,Geralt,Dandelion,0,5
21,Dandelion,Two,0,5
22,Two,Dandelion,0,5
23,Dandelion,Shani,0,5
24,Shani,Dandelion,0,5
25,Shani,Two,0,5
26,Dandelion,King,0,5
27,King,Dandelion,0,5
28,Dandelion,Ori,0,5
29,Ori,Philippa,0,5
30,Dandelion,Rience,0,5
31,Rience,Philippa,0,5
32,Rience,Dandelion,0,5
33,Philippa,Dandelion,0,5
34,Dandelion,Philippa,0,5
35,Philippa,Ori,0,5
36,Philippa,Rience,0,5
37,Ori,Rience,0,5
38,Philippa,Geralt,0,5
39,Geralt,Philippa,0,5
40,King,Geralt,0,5
41,Geralt,Rience,0,5
42,Dandelion,Geralt,0,5
43,Rience,King,0,5
44,King,Philippa,0,5
45,Dandelion,Yennefer,0,5
46,Philippa,Yennefer,0,5
47,Yennefer,Dandelion,0,5
48,Yennefer,Philippa,0,5
49,Ori,Dandelion,0,5
50,Geralt,Shani,0,5
51,Shani,Geralt,0,5
52,Yennefer,Shani,0,5
53,Shani,Philippa,0,5
