,Source,Target,book,chapter
0,King,Foltest,1,7
1,Foltest,Meve,1,7
2,Meve,Henselt,1,7
3,Henselt,Ethain,1,7
4,Henselt,Crach,1,7
5,Ethain,Crach,1,7
6,Ethain,Henselt,1,7
7,Crach,Henselt,1,7
8,Crach,Emhyr,1,7
9,Henselt,Emhyr,1,7
10,Henselt,Foltest,1,7
11,Ithlinne,Emhyr,1,7
12,Emhyr,Foltest,1,7
13,Henselt,Meve,1,7
14,Calanthe,Crach,1,7
15,Crach,Foltest,1,7
16,Foltest,Henselt,1,7
17,Vilgefortz,Emhyr,1,7
18,Vilgefortz,Vissegerd,1,7
19,Emhyr,Vissegerd,1,7
20,Vissegerd,Foltest,1,7
21,Vissegerd,Calanthe,1,7
22,Foltest,Vissegerd,1,7
23,Foltest,Calanthe,1,7
24,Calanthe,Foltest,1,7
25,Calanthe,Vissegerd,1,7
26,Calanthe,Meve,1,7
27,Vissegerd,Meve,1,7
28,Ekkehard,Venzlav,1,7
29,Venzlav,Foltest,1,7
30,King,Meve,1,7
31,King,Calanthe,1,7
32,Meve,Calanthe,1,7
33,Meve,Pavetta,1,7
34,Meve,Foltest,1,7
35,Calanthe,Pavetta,1,7
36,Pavetta,Foltest,1,7
37,Foltest,Rience,1,7
38,Vissegerd,Rience,1,7
39,Rience,Calanthe,1,7
40,Rience,Foltest,1,7
41,King,Henselt,1,7
42,Calanthe,Emhyr,1,7
43,Henselt,Vissegerd,1,7
44,Meve,Vissegerd,1,7
45,Foltest,Emhyr,1,7
46,Vissegerd,Emhyr,1,7
47,Emhyr,Meve,1,7
48,Rience,Windhalm,1,7
49,Rience,Yennefer,1,7
50,Emhyr,Ciri,1,7
51,Geralt,Dandelion,1,7
52,Geralt,Philippa,1,7
53,Geralt,Shani,1,7
54,Dandelion,Philippa,1,7
55,Dandelion,Shani,1,7
56,Philippa,Shani,1,7
57,Ciri,Nenneke,1,7
58,Nenneke,Yennefer,1,7
59,Yennefer,Ciri,1,7
60,Ciri,Yennefer,1,7
61,Yennefer,Geralt,1,7
62,Geralt,Yennefer,1,7
63,Geralt,Ciri,1,7
64,Ciri,Dandelion,1,7
65,Shani,Geralt,1,7
66,Two,Rience,1,7
67,Shani,Little,1,7
68,Shani,Rience,1,7
69,Little,Rience,1,7
70,Artaud,Tissaia,1,7
71,Artaud,Vilgefortz,1,7
72,Tissaia,Vilgefortz,1,7
73,Vilgefortz,Tissaia,1,7
74,Tissaia,Lydia,1,7
75,Lydia,Tissaia,1,7
76,Lydia,Artaud,1,7
77,Tissaia,Artaud,1,7
78,Tissaia,Two,1,7
79,Artaud,Lydia,1,7
80,Artaud,Two,1,7
81,Lydia,Two,1,7
82,Two,Lydia,1,7
83,Two,Tissaia,1,7
84,Two,Artaud,1,7
85,Vilgefortz,Lydia,1,7
86,Lydia,Vilgefortz,1,7
87,Vilgefortz,Artaud,1,7
88,Aen,Tissaia,1,7
89,Aen,Vilgefortz,1,7
90,Aen,Yennefer,1,7
91,Tissaia,Yennefer,1,7
92,Vilgefortz,Yennefer,1,7
93,Yennefer,Vilgefortz,1,7
94,Yennefer,Lydia,1,7
95,Tissaia,Geralt,1,7
96,Rience,Geralt,1,7
97,Geralt,Rience,1,7
98,Rience,Philippa,1,7
99,Philippa,Rience,1,7
100,Philippa,Geralt,1,7
101,Shani,Dandelion,1,7
102,Shani,Philippa,1,7
103,Dandelion,Rience,1,7
104,Triss,Yennefer,1,7
105,Triss,Philippa,1,7
106,Yennefer,Philippa,1,7
107,Philippa,Ciri,1,7
108,Ciri,Geralt,1,7
109,Ciri,Shani,1,7
