,Source,Target,book,chapter
0,Triss,Ciri,0,4
1,Triss,Geralt,0,4
2,Ciri,Geralt,0,4
3,Ciri,Triss,0,4
4,Geralt,Triss,0,4
5,Geralt,Ciri,0,4
6,Two,Ciri,0,4
7,Two,Triss,0,4
8,Triss,Forest,0,4
9,Forest,Geralt,0,4
10,Ciri,Calanthe,0,4
11,Calanthe,Geralt,0,4
12,Geralt,Yarpen,0,4
13,Yarpen,Geralt,0,4
14,Triss,Yarpen,0,4
15,Yarpen,Ciri,0,4
16,Ciri,Yarpen,0,4
17,Triss,King,0,4
18,Ciri,King,0,4
19,King,Geralt,0,4
20,Ciri,Yennefer,0,4
21,Xavier,Yarpen,0,4
22,Xavier,Regan,0,4
23,Yarpen,Regan,0,4
24,Yannick,Yarpen,0,4
25,Paulie,Xavier,0,4
26,Xavier,Paulie,0,4
27,Paulie,Yannick,0,4
28,Yannick,Ciri,0,4
29,Geralt,Yennefer,0,4
30,Triss,Yennefer,0,4
31,Yennefer,Ciri,0,4
32,Yennefer,Yarpen,0,4
33,Regan,Yarpen,0,4
34,Yarpen,Triss,0,4
35,King,Yarpen,0,4
36,Yannick,Paulie,0,4
37,Paulie,Yarpen,0,4
38,Paulie,Triss,0,4
39,Ciri,Two,0,4
40,King,Henselt,0,4
41,King,Ciri,0,4
42,Henselt,Ciri,0,4
43,Ciri,Aelirenn,0,4
44,Aelirenn,Ciri,0,4
45,Aelirenn,Yarpen,0,4
46,Yarpen,Aelirenn,0,4
47,Ciri,Yannick,0,4
48,Yarpen,Yannick,0,4
49,Ciri,Regan,0,4
50,Regan,Ciri,0,4
51,Ciri,Paulie,0,4
52,Paulie,Ciri,0,4
53,Yannick,Regan,0,4
