,Source,Target,book,chapter
0,Triss,Ciri,1,2
1,Ciri,Geralt,1,2
2,Ciri,Triss,1,2
3,Geralt,Ciri,1,2
4,Geralt,Triss,1,2
5,Triss,Geralt,1,2
6,Triss,Lambert,1,2
7,Lambert,Vesemir,1,2
8,Lambert,Ciri,1,2
9,Vesemir,Ciri,1,2
10,Ciri,Lambert,1,2
11,Lambert,Triss,1,2
12,Triss,Vesemir,1,2
13,Vesemir,Triss,1,2
14,Vesemir,Lambert,1,2
15,Ciri,Vesemir,1,2
16,Vesemir,Geralt,1,2
17,Lambert,Geralt,1,2
18,Triss,Yennefer,1,2
19,Yennefer,Geralt,1,2
20,Yennefer,Triss,1,2
21,Ciri,Two,1,2
22,Ciri,Calanthe,1,2
23,Calanthe,Geralt,1,2
24,Vesemir,Eskel,1,2
25,Eskel,Triss,1,2
26,Triss,Eskel,1,2
27,Eskel,Vesemir,1,2
28,Eskel,Ciri,1,2
29,Eskel,Geralt,1,2
30,Geralt,Vesemir,1,2
31,Nenneke,Ciri,1,2
